Division Rank,Player,Country
968,iuxop.ani-san,N/A
969,why/did.youー,ua
970,double mid enjoyer,N/A
971,|_|).TeaGuvnor,gb
972,DGG.MTD.Fazer,fi
973,TF.Manhattan,kz
974,KELL,N/A
975,Miracle-.Katsura,N/A
976,lft.altera,kz
977,pma,N/A
978,Happy,dk
979,RȺpeMaN 🦥🦥🦥,N/A
980,mortalis,kz
981,rOg.Richik,ru
982,Kaz-Miracle-,kz
983,SHUNJI,ru
984,sd.minmaxed,ua
985,Pavaga.A.Uflly,N/A
986,nifnaf,ru
987,TPRBSS,ru
988,vibe,N/A
989,Mio,ru
990,Katory,N/A
991,ui,N/A
992,Pandora,N/A
993,call me to fight=fuckurself,N/A
994,Souls Lost,N/A
995,Makura,ru
996,一大桶酸чск(ққ),N/A
997,aluzars,N/A
998,someone clipped my wings,N/A
999,Nastya nyashka,ru
1000,lft.notme,ca
1001,KB.ITMO.spiller,ru
1002,ToChing.Mathis,N/A
1003,CJ.SAMOSES,rs
1004,GVOZDI.PivoKiller,N/A
1005,Molex,pl
1006,dsdsad.PIVOZAVRRRR-GOD,ru
1007,Siberian Style,ru
1008,Abuserdagrey.,N/A
1009,FIS.nnn,ru
1010,OAPB.Nemo,N/A
1011,кошка,N/A
1012,just pick heroes w controls thx,N/A
1013,just_kakostas,gr
1014,Mill.7uPx,ae
1015,[EP] .den10fan,ru
1016,ss.sQreen,N/A
1017,IMIGA.Improve,kg
1018,❖ .5,se
